"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,7.72708097818989e-71,4721,3150,1120,0.355555555555556,0.237237873331921,"GO:0019538","GO:BP","protein metabolic process",21026,5841,"GO:0043170,GO:0044238"
"query_1",TRUE,2.68928585761e-64,5390,3150,1215,0.385714285714286,0.225417439703154,"GO:0080090","GO:BP","regulation of primary metabolic process",21026,17565,"GO:0019222,GO:0044238"
"query_1",TRUE,1.52350285369661e-57,3594,3150,877,0.278412698412698,0.244017807456873,"GO:0006996","GO:BP","organelle organization",21026,2598,"GO:0016043"
"query_1",TRUE,4.45717404042048e-49,5920,3150,1251,0.397142857142857,0.211317567567568,"GO:0048522","GO:BP","positive regulation of cellular process",21026,12638,"GO:0009987,GO:0048518,GO:0050794"
"query_1",TRUE,1.41365366908687e-45,6264,3150,1294,0.410793650793651,0.206577266922095,"GO:0048518","GO:BP","positive regulation of biological process",21026,12634,"GO:0008150,GO:0050789"
"query_1",TRUE,2.24325639663364e-44,3030,3150,732,0.232380952380952,0.241584158415842,"GO:0043412","GO:BP","macromolecule modification",21026,10582,"GO:0043170"
"query_1",TRUE,3.73786153872e-44,12743,3150,2267,0.71968253968254,0.177901593031468,"GO:0065007","GO:BP","biological regulation",21026,15666,"GO:0008150"
"query_1",TRUE,5.3117316314694e-44,12336,3150,2209,0.701269841269841,0.179069390402075,"GO:0050789","GO:BP","regulation of biological process",21026,13086,"GO:0008150,GO:0065007"
"query_1",TRUE,1.21117991383768e-43,7035,3150,1410,0.447619047619048,0.200426439232409,"GO:0019222","GO:BP","regulation of metabolic process",21026,5569,"GO:0008152,GO:0050794"
"query_1",TRUE,6.21602330048734e-43,11946,3150,2149,0.682222222222222,0.179892851163569,"GO:0050794","GO:BP","regulation of cellular process",21026,13090,"GO:0009987,GO:0050789"
"query_1",TRUE,8.37639858993623e-42,2846,3150,689,0.218730158730159,0.242094167252284,"GO:0036211","GO:BP","protein modification process",21026,9413,"GO:0019538,GO:0043412"
"query_1",TRUE,3.8134082331713e-41,3661,3150,834,0.264761904761905,0.227806610215788,"GO:0051641","GO:BP","cellular localization",21026,13664,"GO:0009987,GO:0051179"
"query_1",TRUE,2.00253269523448e-39,1855,3150,493,0.156507936507937,0.265768194070081,"GO:0051246","GO:BP","regulation of protein metabolic process",21026,13411,"GO:0019538,GO:0060255,GO:0080090"
"query_1",TRUE,8.0067368284582e-39,6492,3150,1302,0.413333333333333,0.200554528650647,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",21026,14264,"GO:0019222,GO:0043170"
"query_1",TRUE,5.54540292888514e-38,3597,3150,811,0.257460317460317,0.225465665832638,"GO:0009893","GO:BP","positive regulation of metabolic process",21026,3738,"GO:0008152,GO:0019222,GO:0048522"
"query_1",TRUE,2.0203059378576e-37,1381,3150,392,0.124444444444444,0.283852280955829,"GO:0046907","GO:BP","intracellular transport",21026,12264,"GO:0006810,GO:0051641,GO:0051649"
"query_1",TRUE,5.26526689025849e-37,3990,3150,876,0.278095238095238,0.219548872180451,"GO:0019219","GO:BP","regulation of nucleobase-containing compound metabolic process",21026,5566,"GO:0006139,GO:0080090"
"query_1",TRUE,4.04254443603471e-36,3288,3150,749,0.237777777777778,0.227798053527981,"GO:0010604","GO:BP","positive regulation of macromolecule metabolic process",21026,4234,"GO:0009893,GO:0043170,GO:0060255"
"query_1",TRUE,4.04254443603471e-36,2010,3150,513,0.162857142857143,0.255223880597015,"GO:0051649","GO:BP","establishment of localization in cell",21026,13672,"GO:0051234,GO:0051641"
"query_1",TRUE,4.18009918239085e-36,1830,3150,478,0.151746031746032,0.26120218579235,"GO:0033554","GO:BP","cellular response to stress",21026,8226,"GO:0006950,GO:0051716"
"query_1",TRUE,7.1149262606849e-36,1417,3150,395,0.125396825396825,0.278757939308398,"GO:0009057","GO:BP","macromolecule catabolic process",21026,3219,"GO:0009056,GO:0043170"
"query_1",TRUE,8.81409621477497e-36,2639,3150,630,0.2,0.238726790450928,"GO:0009056","GO:BP","catabolic process",21026,3218,"GO:0008152"
"query_1",TRUE,1.42957729476018e-35,3228,3150,736,0.233650793650794,0.228004956629492,"GO:0033036","GO:BP","macromolecule localization",21026,7939,"GO:0051179"
"query_1",TRUE,5.05382867960065e-34,2782,3150,650,0.206349206349206,0.233644859813084,"GO:0070727","GO:BP","cellular macromolecule localization",21026,16048,"GO:0033036,GO:0051641"
"query_1",TRUE,3.04950012769304e-33,2770,3150,645,0.204761904761905,0.232851985559567,"GO:0008104","GO:BP","protein localization",21026,3109,"GO:0070727"
"query_1",TRUE,1.00623247277241e-32,3687,3150,806,0.255873015873016,0.218605912666124,"GO:0051252","GO:BP","regulation of RNA metabolic process",21026,13417,"GO:0016070,GO:0019219,GO:0060255"
"query_1",TRUE,4.68432287030016e-32,1663,3150,433,0.137460317460317,0.26037282020445,"GO:0007049","GO:BP","cell cycle",21026,2636,"GO:0009987"
"query_1",TRUE,7.94265997596298e-31,5555,3150,1113,0.353333333333333,0.2003600360036,"GO:0051179","GO:BP","localization",21026,13378,"GO:0008150"
"query_1",TRUE,8.43044571427827e-31,2965,3150,671,0.213015873015873,0.226306913996627,"GO:0035556","GO:BP","intracellular signal transduction",21026,9022,"GO:0007165"
"query_1",TRUE,1.03286738891852e-29,1280,3150,350,0.111111111111111,0.2734375,"GO:0022402","GO:BP","cell cycle process",21026,6561,"GO:0007049,GO:0009987"
