"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0006357","regulation of transcription by RNA polym...",1070,615,542.21,1,"6.8e-07","7.1e-05"
"GO:0141124","intracellular signaling cassette",787,444,398.8,2,"0.00034","0.00033"
"GO:0071363","cellular response to growth factor stimu...",316,190,160.13,3,"0.00034","0.00033"
"GO:0030036","actin cytoskeleton organization",335,198,169.76,4,"0.00091","0.00089"
"GO:0051984","positive regulation of chromosome segreg...",24,20,12.16,5,"0.00094","0.00094"
"GO:0003008","system process",544,310,275.67,6,"0.00121","0.00119"
"GO:0055002","striated muscle cell development",76,52,38.51,7,"0.00123","0.00122"
"GO:0007200","phospholipase C-activating G protein-cou...",17,15,8.61,8,"0.00139","0.00138"
"GO:0045944","positive regulation of transcription by ...",549,312,278.2,9,"0.00148","0.00145"
"GO:0060485","mesenchyme development",127,81,64.36,10,"0.00181","0.00179"
"GO:0034329","cell junction assembly",191,117,96.79,11,"0.00183","0.00181"
"GO:0007169","cell surface receptor protein tyrosine k...",258,154,130.74,12,"0.00187","0.00184"
"GO:2001014","regulation of skeletal muscle cell diffe...",13,12,6.59,13,"0.00197","0.00196"
"GO:0045595","regulation of cell differentiation",605,350,306.58,14,"0.00012","0.00213"
"GO:0007155","cell adhesion",515,300,260.97,15,"0.00020","0.00222"
"GO:0002244","hematopoietic progenitor cell differenti...",64,44,32.43,16,"0.00248","0.00246"
"GO:0043010","camera-type eye development",121,77,61.32,17,"0.00254","0.00251"
"GO:1901701","cellular response to oxygen-containing c...",474,270,240.19,18,"0.00258","0.00252"
"GO:0045104","intermediate filament cytoskeleton organ...",19,16,9.63,19,"0.00261","0.00260"
"GO:0048705","skeletal system morphogenesis",84,60,42.57,20,"8.0e-05","0.00280"
"GO:0010660","regulation of muscle cell apoptotic proc...",33,25,16.72,21,"0.00282","0.00281"
"GO:0045087","innate immune response",373,221,189.01,22,"0.00038","0.00288"
"GO:0070252","actin-mediated cell contraction",46,33,23.31,23,"0.00291","0.00290"
"GO:0051240","positive regulation of multicellular org...",582,332,294.92,24,"0.00074","0.00292"
"GO:2000630","positive regulation of miRNA metabolic p...",30,23,15.2,25,"0.00320","0.00319"
"GO:0055007","cardiac muscle cell differentiation",58,40,29.39,26,"0.00352","0.00350"
"GO:0002062","chondrocyte differentiation",53,37,26.86,27,"0.00357","0.00355"
"GO:0065009","regulation of molecular function",638,356,323.3,28,"0.00364","0.00355"
"GO:0042127","regulation of cell population proliferat...",642,358,325.33,29,"0.00375","0.00366"
"GO:0009653","anatomical structure morphogenesis",1035,596,524.47,30,"7.5e-07","0.00389"
