"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:1901701","cellular response to oxygen-containing c...",465,304,265.34,1,"9.1e-05","8.8e-05"
"GO:0050769","positive regulation of neurogenesis",91,69,51.93,2,"0.00014","0.00014"
"GO:1901699","cellular response to nitrogen compound",283,191,161.48,3,"0.00016","0.00015"
"GO:0048589","developmental growth",286,205,163.2,4,"1.3e-07","0.00017"
"GO:0048732","gland development",165,120,94.15,5,"1.8e-05","0.00028"
"GO:0008284","positive regulation of cell population p...",353,232,201.43,6,"0.00040","0.00039"
"GO:2000026","regulation of multicellular organismal d...",517,344,295.01,7,"2.8e-06","0.00044"
"GO:0007613","memory",44,36,25.11,8,"0.00046","0.00046"
"GO:0022603","regulation of anatomical structure morph...",323,213,184.31,9,"0.00052","0.00050"
"GO:0001656","metanephros development",26,23,14.84,10,"0.00059","0.00059"
"GO:1902895","positive regulation of miRNA transcripti...",26,23,14.84,11,"0.00059","0.00059"
"GO:0043010","camera-type eye development",117,84,66.76,12,"0.00065","0.00064"
"GO:0001819","positive regulation of cytokine producti...",158,114,90.16,13,"5.3e-05","0.00066"
"GO:0009653","anatomical structure morphogenesis",999,649,570.05,14,"2.0e-08","0.00069"
"GO:0045597","positive regulation of cell differentiat...",322,229,183.74,15,"6.9e-08","0.00093"
"GO:0070509","calcium ion import",21,19,11.98,16,"0.00102","0.00102"
"GO:0050790","regulation of catalytic activity",402,259,229.39,17,"0.00114","0.00112"
"GO:0051450","myoblast proliferation",12,12,6.85,18,"0.00118","0.00118"
"GO:0045600","positive regulation of fat cell differen...",24,21,13.69,19,"0.00145","0.00144"
"GO:0071230","cellular response to amino acid stimulus",47,37,26.82,20,"0.00154","0.00153"
"GO:0007411","axon guidance",59,45,33.67,21,"0.00163","0.00162"
"GO:0090257","regulation of muscle system process",88,64,50.21,22,"0.00164","0.00162"
"GO:0006936","muscle contraction",113,80,64.48,23,"0.00170","0.00168"
"GO:0006897","endocytosis",297,194,169.47,24,"0.00182","0.00179"
"GO:0001503","ossification",180,122,102.71,25,"0.00184","0.00182"
"GO:0032733","positive regulation of interleukin-10 pr...",11,11,6.28,26,"0.00208","0.00207"
"GO:0009410","response to xenobiotic stimulus",166,113,94.72,27,"0.00212","0.00210"
"GO:0010721","negative regulation of cell development",95,68,54.21,28,"0.00235","0.00233"
"GO:0007517","muscle organ development",144,99,82.17,29,"0.00241","0.00239"
"GO:0001657","ureteric bud development",33,27,18.83,30,"0.00245","0.00243"
