"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","classicFisher","elimFisher"
"GO:0042776","proton motive force-driven mitochondrial...",64,56,40.16,1,"9.3e-06","9.0e-06"
"GO:0006120","mitochondrial electron transport, NADH t...",48,43,30.12,2,"2.9e-05","2.8e-05"
"GO:0045087","innate immune response",373,265,234.03,3,"0.00035","0.00032"
"GO:0002181","cytoplasmic translation",151,114,94.74,4,"0.00054","0.00052"
"GO:0030177","positive regulation of Wnt signaling pat...",69,56,43.29,5,"0.00073","0.00071"
"GO:1901701","cellular response to oxygen-containing c...",474,336,297.4,6,"7.5e-05","0.00071"
"GO:0030239","myofibril assembly",30,27,18.82,7,"0.00086","0.00085"
"GO:0071356","cellular response to tumor necrosis fact...",88,69,55.21,8,"0.00117","0.00114"
"GO:0009896","positive regulation of catabolic process",303,218,190.11,9,"0.00037","0.00140"
"GO:1901699","cellular response to nitrogen compound",296,210,185.72,10,"0.00158","0.00150"
"GO:0045445","myoblast differentiation",55,45,34.51,11,"0.00176","0.00173"
"GO:0001819","positive regulation of cytokine producti...",157,116,98.51,12,"0.00193","0.00186"
"GO:0045892","negative regulation of DNA-templated tra...",568,392,356.38,13,"0.00069","0.00188"
"GO:0050877","nervous system process",294,208,184.47,14,"0.00207","0.00197"
"GO:0048568","embryonic organ development",159,117,99.76,15,"0.00236","0.00227"
"GO:0043010","camera-type eye development",121,91,75.92,16,"0.00235","0.00228"
"GO:0048525","negative regulation of viral process",43,36,26.98,17,"0.00234","0.00230"
"GO:0033993","response to lipid",346,242,217.09,18,"0.00252","0.00239"
"GO:0141124","intracellular signaling cassette",787,535,493.79,19,"0.00070","0.00241"
"GO:1902600","proton transmembrane transport",111,84,69.65,20,"0.00251","0.00244"
"GO:0010976","positive regulation of neuron projection...",71,56,44.55,21,"0.00263","0.00257"
"GO:0006123","mitochondrial electron transport, cytoch...",18,17,11.29,22,"0.00266","0.00263"
"GO:0007369","gastrulation",91,70,57.1,23,"0.00272","0.00265"
"GO:0009725","response to hormone",421,291,264.15,24,"0.00294","0.00277"
"GO:0050729","positive regulation of inflammatory resp...",46,38,28.86,25,"0.00288","0.00283"
"GO:0042110","T cell activation",207,149,129.88,26,"0.00296","0.00284"
"GO:0043502","regulation of muscle adaptation",42,35,26.35,27,"0.00316","0.00311"
"GO:0051248","negative regulation of protein metabolic...",361,251,226.5,28,"0.00348","0.00330"
"GO:0032872","regulation of stress-activated MAPK casc...",22,20,13.8,29,"0.00336","0.00332"
"GO:0002064","epithelial cell development",93,71,58.35,30,"0.00360","0.00350"
