Comparison,Chi²,p-value,DOF,Common Genes
10 vs 100,4.444444444444445,0.3491858526038865,4,10
10 vs 1000,4.444444444444445,0.3491858526038865,4,10
10 vs 5000,6.874999999999999,0.5501774633402999,8,10
10 vs 10000,6.874999999999999,0.5501774633402999,8,10
100 vs 1000,216.3007455215868,3.939354686485855e-37,16,100
100 vs 5000,139.58287142585056,8.695732012349867e-22,16,100
100 vs 10000,139.58287142585056,8.695732012349867e-22,16,100
1000 vs 5000,1395.1460134599495,1.798718890722931e-287,16,1000
1000 vs 10000,1395.1460134599495,1.798718890722931e-287,16,1000
5000 vs 10000,20000.000000000004,0.0,16,5000
