refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR6191750	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A01_scRNA-seq	
SRR6191751	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A02_scRNA-seq	
SRR6191752	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A03_scRNA-seq	
SRR6191753	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A04_scRNA-seq	
SRR6191754	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A05_scRNA-seq	
SRR6191755	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A06_scRNA-seq	
SRR6191756	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A07_scRNA-seq	
SRR6191757	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A08_scRNA-seq	
SRR6191758	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A09_scRNA-seq	
SRR6191759	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A10_scRNA-seq	
SRR6191760	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A11_scRNA-seq	
SRR6191761	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_A12_scRNA-seq	
SRR6191762	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B01_scRNA-seq	
SRR6191763	SRP120552		hfib-myod line						HOMO_SAPIENS	Illumina HiSeq 2000 (IlluminaHiSeq2000)	True	333	Tximport	v1.23.4-hotfix				SRA	foreskin human fibroblasts	bj_myo_r1_t24	t24	BJ_MYO_R1_T24_B02_scRNA-seq	
